Store_ID,Group_ID
234,5e822be0-2ad8-4f87-aaa9-4f5c006d1618
264,99953e73-171f-4c18-b8b3-4a3b382934df
218,cd1efc24-3a2b-4e53-9d5c-7a11d5cfbe70
246,74e03abf-2f83-492d-9c69-1b17a862700f
215,84041de2-5731-45b4-8459-d6dd3a718678
249,9e3e1e05-9bec-4124-a188-e6c8a306a4b8
336,4f8bfb7b-6db1-4ee5-bd9d-eb5b215e2952
283,660001ab-ce5e-48ed-91d0-3687e341a20a
305,bbb7b79a-11b2-4f25-8340-e961ee7ae180
255,d711b54c-2112-40de-b8c0-fc895f9a834f
342,59e89cb4-6c6f-49e9-a6ac-16544ce734ad
208,40195660-c9e9-4d18-b011-2c78aea1501b
285,8db24c51-626c-45c1-8994-329ccecd5342
288,ff691472-d8c4-4d48-adcd-f7c858f15a6a
236,4a808418-21fe-444e-bf4c-8fce1f16587e
309,8a1ddbeb-515d-48d4-808a-2713880317eb
316,2f2db88d-6fc1-4415-a3cb-770ddd361eda
359,d7ad2bc2-6786-49c5-bf94-9ba5fa25e713
253,6ce42ab5-bf17-4b90-a8e6-a580aa7845dd
240,f6459475-62e6-4ba8-b286-554feaa03ae0
209,e5ff6b9b-0664-4565-b14c-b16e29dbb224
334,c27af83b-380c-4404-b38d-a787cfc640b4
337,7b6d903b-49e8-4150-a716-df24a8d3f23d
408,281526b0-47b5-4aaa-9508-189772faf829
420,f99be73b-df98-41ec-8486-983b99c7c3f2
419,dbe3f9b2-18f5-4d1a-a1ad-07aafa6f3f68
341,2cad8565-8ca3-4611-994b-18d2fa027afc
327,7eb2bbaf-06a1-45e5-81c3-affee9939679
227,31d7282b-f46b-4ae1-a77c-6d43c1cbecbd
241,4208732e-38b8-4ef9-afb0-3334714bff08
248,82df83e6-8953-4bfc-92c9-5786baa1dcf4
325,f36f86a0-03a9-4d01-96cf-61b928286b5e
274,ddedf5af-a96a-4d72-be6c-97dae1b2c7d7
331,1ebf6018-1198-4b11-b331-99a836977a34
219,549ac187-91a4-4fe2-851b-ed456deed053
232,f907d3df-f6cb-4e4d-b5f4-647e22b8c80b
278,f6e740af-7df1-4fd1-abcc-d0664a439d84
281,42f72d75-56ad-459f-bd3d-d9797666c3e4
223,315bd04a-bb27-42dc-abf8-f40ff145f970
314,330e17bf-6343-4e0e-8000-376efc9e71b7
321,18af039a-a8c0-4061-90d6-34c1454e4517
282,56a8ed5b-26cb-4ce3-bf63-01d2dbf373ef
291,e6e69576-22ed-4fb0-96f4-e2c8334c8f70
319,ebce75c8-2b30-4770-9851-57387a0c2c40
256,93963f6f-a2a6-43b5-bd00-eb0347b074fd
410,164e5a29-22ae-4b5b-aba0-a2e1e557d78a
411,c2b3568a-1a25-4dff-99df-4861071d271f
306,23052bae-926a-4552-8c98-b12525703464
221,5753edb9-4a30-4836-af8a-35b3241c8915
239,40fa9f50-bae9-4a22-ae31-366675737eaa
251,d5032fa4-99d2-42e5-a399-09535b0771df
324,6340a811-98d0-4bad-b3a7-9495ff222aa8
407,d8ffebac-c4df-4211-b128-a14879714839
333,5afe6468-942e-45a3-8da2-5454378a710b
330,0b95df1b-0fd9-4ef8-8c56-4f5e083be436
277,fa5b423a-2784-4e6b-abad-a375ab9cf43c
286,3def4a86-c982-4f2e-95b6-5258c7fca4bd
293,14bbd5c0-c6fa-41ba-b3b4-5e7a422e2af8
231,007a8a93-dad8-42d8-b5a7-3ad9c98540e3
210,35842311-ebec-4fe7-972c-0fc86244d780
250,4cccd1d8-225e-4310-8424-0b230aceff34
214,2cae377b-9b50-4bae-ae1e-eedf127b50bf
212,8088dda4-cc58-438e-80a1-b213b5c77825
350,4821ef77-8b99-4889-8f8d-2207c4c9d2c8
322,a99568f3-bc68-4b74-b4e4-eea7aeea190a
414,ac96e7fa-7da6-49b4-946c-465abbf235db
406,6eed2356-e06d-4765-809d-a74a3606c84c
292,2cbb033d-01d2-4c72-be75-8520b8ce2be0
228,c2ef47e5-7237-4a38-a8c5-35f17b704cef
353,a26afea1-7b41-44c3-b41f-89f9da356632
252,9caeea7e-95c4-463e-9886-555b76efeaeb
238,5f3e5208-467f-4090-82ba-b5eb3cda1201
229,1fb3e24a-a68c-4e30-9004-2b303b1bad26
307,8ebc81cb-5ded-4b03-be89-d37b7029f39b
356,cf700924-5a2a-4eca-abd3-f6153a73c351
312,56eb8c9e-c30c-4a35-bb4b-f9a63c7861bf
273,2294b9b8-0b3f-40c9-99f4-60a4a402b65c
289,f9f564db-729b-4821-a43d-29ea215a5a04
332,4313a45a-ebe3-429b-a821-bbfc42c6d311
237,0d9cbc05-7973-41e3-b682-33a437ff0cbe
317,4803f34d-c95f-4a09-9a1b-c51f6d2d93ca
226,84730aea-afc0-432d-b7c3-2cc00c3cf403
259,632a7427-43d9-4e22-b1a0-bd5dd2ebc2e5
230,1a7f5d3d-6cd5-4c2c-92cd-a5c5380cc0bb
308,7606dd4e-b015-4c6d-8a6f-28da6a1c90bd
244,70e046a3-53b9-4441-8852-f7742af37a6e
216,5321c51b-1dce-453c-a121-55fad6b72557
343,e4e8bcd8-cbad-4130-8789-f16c7fbcb78f
222,b198c17e-79f4-4652-9afc-3ff7551bca4d
340,49be80dd-19fb-4392-b0fc-54cf4a98d37e
242,2417709b-3a5b-4d39-9a10-a0ef1c210818
355,bf40fee1-bf3d-4882-adee-695a2aa5d049
270,b3ba9cbd-3a92-456c-a33d-0038e1a68407
265,547fa30b-df1c-4aac-8f0e-1ba9fdae8993
417,6cfb39a3-d52c-40c2-9e3b-92005f691652
351,d6481c3e-7564-4bab-9ade-8e443033cea9
290,45099474-09b8-454b-a1e1-e6ee14772498
404,bd025ae8-53f6-4476-85f8-8b217b8f7ca3
254,67933cce-c1ab-4fc2-bde5-ae1070f70a0e
258,bac915fa-53b6-41b5-adae-6d9450318ef4
263,173e639c-19ee-420e-8a66-636072d3cee7
360,9790f834-3a99-4eca-a103-2a99f604f554
217,4d78cd4b-7d4f-4ac6-93fb-afd57bae13c8
262,acc872a4-1848-4148-a401-fbe9c99d6c53
235,df16bc2f-4b87-430b-a069-63ca55e096e4
358,d28aaeae-bc9c-4ff9-809e-a113e4e9c9ad
